"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",979.81,1184.68,1535.18,0,0.02,0.01,0.03
"No",2321.07,2066.46,2931.09,0.01,0.03,0.12,0.09
