"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",693.79,786.16,994.15,0,0.02,0.01,0.02
"No",1890.58,1380.37,1739.37,0.01,0.02,0.09,0.06
