"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",9647.56,13531.03,19659.9,0.01,0.03,0.02,0.08
"No",28312.67,24363.17,33672.06,0.02,0.04,0.23,0.24
