"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",21193.06,30944.27,46664.27,0.01,0.04,0.03,0.11
"No",63712.36,58216.21,80450.3,0.03,0.05,0.28,0.32
