"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",10393,14837.71,21638.38,0.01,0.04,0.02,0.09
"No",28608.41,26643.43,39381.06,0.02,0.04,0.24,0.27
