"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",16579.12,23866.29,36001.95,0.01,0.03,0.02,0.09
"No",59045.15,49410.97,62343.84,0.02,0.04,0.22,0.28
