"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",7153.08,9621.61,13843.34,0.01,0.03,0.02,0.06
"No",25771.55,20262.4,24509.43,0.01,0.03,0.17,0.19
