"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",20879.73,29783.45,44621.46,0.01,0.04,0.03,0.11
"No",62240.72,60121.01,84605.96,0.03,0.04,0.28,0.32
