"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",16767.52,24171.05,36410.83,0.01,0.03,0.02,0.09
"No",59513.68,50879.3,64599.48,0.02,0.04,0.23,0.28
