"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",17102.8,24580.2,37002.8,0.01,0.03,0.02,0.09
"No",59243.11,53029.83,70520.89,0.02,0.04,0.23,0.29
