"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",8304.53,10961.4,15692.96,0.01,0.03,0.02,0.07
"No",26683.22,21938.99,27448.85,0.02,0.04,0.2,0.2
