"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",771.16,928.24,1193.59,0,0.02,0.01,0.03
"No",2074.4,1484.12,2030.33,0.01,0.02,0.1,0.07
