"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",7573.21,10434.33,15119.07,0.01,0.03,0.02,0.07
"No",26287.74,20657.79,26067.57,0.02,0.04,0.18,0.2
