"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",812.28,997.66,1286.61,0,0.02,0.01,0.03
"No",2115.1,1678.67,2445.27,0.01,0.02,0.1,0.08
