"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",7528.55,10200.27,14697.46,0.01,0.03,0.02,0.06
"No",25514.59,21769.18,28926.04,0.02,0.03,0.18,0.21
