"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",18285.08,25265.95,37593.11,0.01,0.03,0.03,0.1
"No",60443.51,52741.5,66583.59,0.02,0.04,0.25,0.28
