"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",729.13,847.78,1079.15,0,0.02,0.01,0.02
"No",1973.66,1433.45,1857.37,0.01,0.02,0.1,0.07
