"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",1016.57,1263.89,1647.97,0,0.02,0.01,0.03
"No",2490.54,1974.18,2827.52,0.01,0.03,0.13,0.09
