"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",17784.02,25992.31,39278.17,0.01,0.04,0.02,0.1
"No",60317.76,54324.73,73338.99,0.02,0.04,0.24,0.3
