"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",1007.05,1260.05,1649.02,0,0.02,0.01,0.03
"No",2447.13,1927.83,2788.5,0.01,0.03,0.13,0.09
