"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",8106.32,11363.1,16501.59,0.01,0.03,0.02,0.07
"No",26782.72,22798.1,31028.71,0.02,0.04,0.19,0.22
