"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",776.7,932.64,1197.5,0,0.02,0.01,0.03
"No",1996.93,1620.04,2290.26,0.01,0.02,0.1,0.08
