"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",16565.79,23470.39,35206.13,0.01,0.03,0.02,0.09
"No",58143.05,52195.13,68919.34,0.02,0.04,0.22,0.28
