"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",9886.18,13803.81,20030.3,0.01,0.03,0.02,0.09
"No",27963.87,25801.66,37197.49,0.02,0.04,0.23,0.25
