"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",20975.71,30652.84,46320.09,0.01,0.04,0.03,0.11
"No",63402.99,56727.15,78536.33,0.03,0.05,0.28,0.33
