"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",7632.07,10528.58,15230.88,0.01,0.03,0.02,0.07
"No",26485.63,21219.9,26805.05,0.02,0.04,0.18,0.2
