"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",9543.83,13393.24,19506.03,0.01,0.03,0.02,0.08
"No",28064.01,23655.42,32864.96,0.02,0.04,0.23,0.24
