"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",7784.5,10708.55,15488.01,0.01,0.03,0.02,0.07
"No",26196.77,22182.79,29673.11,0.02,0.04,0.18,0.21
