"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",22837.59,33876.22,51266.8,0.02,0.04,0.03,0.13
"No",64626.54,63218.14,92729.1,0.03,0.05,0.3,0.35
