"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",14915.53,20622.57,30771.21,0.01,0.03,0.02,0.08
"No",56607.66,47223.59,56359.47,0.02,0.04,0.2,0.25
