"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",19583.19,27794.6,41653.57,0.01,0.04,0.03,0.1
"No",62057.39,55059.03,72501.49,0.02,0.04,0.27,0.3
