"","x"
"Nfad_2015",0.064443003918198
"Nfad_2020",0.0913599133789613
"Nfad_2025",0.128086758822932
"fadsurv",0.0120339509091346
"fjusurv",0.0442491901520632
"ppn_breedy",0.0944729046432897
"rel_ad_15_25",2.38180866374794
