"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",6767.34,8909.49,12750.29,0.01,0.03,0.02,0.06
"No",24947.78,19558.11,23049.16,0.01,0.03,0.16,0.18
