"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",942.39,1125.53,1454.32,0,0.02,0.01,0.03
"No",2378.06,1831.86,2470.97,0.01,0.02,0.12,0.08
