"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",9477.1,12962.76,18707.31,0.01,0.03,0.02,0.08
"No",27312.2,25218.94,35650.52,0.02,0.04,0.22,0.24
