"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",8895.12,12091.29,17443.37,0.01,0.03,0.02,0.08
"No",27504,22947.95,30035.99,0.02,0.04,0.21,0.22
