"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",1080.05,1378.09,1807.82,0.01,0.02,0.01,0.04
"No",2517.02,2227.55,3377.7,0.01,0.03,0.13,0.11
