"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",776.16,930.46,1192.52,0,0.02,0.01,0.03
"No",2099.57,1522.01,2062.15,0.01,0.02,0.1,0.07
