"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",15738.45,22188.1,33261.38,0.01,0.03,0.02,0.08
"No",58087.71,48728.75,59585.36,0.02,0.04,0.21,0.26
