"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",21763.74,31633.36,47646.28,0.01,0.04,0.03,0.12
"No",63440.07,61425.67,88055.73,0.03,0.05,0.29,0.34
