"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",885.04,1019.88,1305.27,0,0.02,0.01,0.03
"No",2279.12,1735.34,2232.6,0.01,0.02,0.11,0.07
