"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",1025.03,1271,1657.53,0,0.02,0.01,0.03
"No",2412.63,2132.56,3113.98,0.01,0.03,0.13,0.1
