"","Nfad_2015","Nfad_2020","Nfad_2025","fadsurv","fjusurv","ppn_breedy","rel_ad_15_25"
"Yes",750.32,885.09,1131.62,0,0.02,0.01,0.02
"No",1916.44,1590.46,2213.21,0.01,0.02,0.1,0.07
